Timestamp (s.ms),X (mm),Y (mm)
5.30,24,33
5.86,23,33
5.94,28,30
6.02,29,31
6.10,28,29
6.18,26,28
6.26,24,29
6.34,29,32
6.42,28,30
6.50,23,27
6.59,25,29
6.66,25,32
6.74,28,30
6.82,26,29
6.91,28,33
6.98,24,32
7.07,26,34
7.14,28,33
7.22,27,33
7.31,27,33
7.39,28,33
7.47,27,31
7.55,28,32
7.63,22,32
7.71,24,32
7.79,23,28
7.87,26,28
7.95,24,29
8.03,27,30
8.11,24,26
8.19,26,26
8.27,28,29
8.35,24,30
8.43,29,30
8.51,32,34
8.59,33,36
8.67,30,34
9.41,29,34
