Timestamp (s.ms),X (mm),Y (mm)
5.30,90,292
5.86,104,252
5.94,119,235
6.02,136,216
6.10,154,198
6.18,173,183
6.26,191,169
6.34,206,153
6.42,227,143
6.50,244,129
6.59,262,118
6.66,280,111
6.74,297,103
6.83,315,96
6.91,331,91
6.99,346,87
7.07,367,82
7.14,382,80
7.22,399,79
7.31,416,80
7.39,433,81
7.47,450,83
7.55,466,88
7.63,481,92
7.71,500,100
7.79,518,106
7.87,537,116
7.95,553,125
8.03,570,137
8.11,585,148
8.19,601,160
8.27,620,176
8.35,639,191
8.43,653,210
8.51,671,227
8.59,687,245
8.67,703,265
9.41,720,288
