Timestamp (s.ms),X (mm),Y (mm)
2.74,711,283
2.82,701,271
2.98,677,224
3.07,663,207
3.15,647,188
3.23,636,171
3.31,621,155
3.39,607,142
3.47,593,127
3.55,579,113
3.63,567,102
3.71,552,91
3.79,535,83
3.88,523,75
3.96,511,69
4.04,496,59
4.12,482,56
4.20,468,52
4.28,454,49
4.36,441,48
4.44,427,47
4.52,413,47
4.60,399,50
4.68,386,52
4.76,373,55
4.84,359,60
4.92,343,68
5.00,327,74
5.08,316,82
5.16,302,92
5.24,289,103
5.32,274,114
5.40,261,128
5.48,245,143
5.57,232,156
5.64,216,173
5.72,200,190
5.81,185,210
5.89,170,230
5.96,155,251
6.05,141,272
6.13,127,297
7.13,117,318
