Timestamp (s.ms),X (mm),Y (mm)
35.41,28,29
35.49,25,31
35.57,26,27
35.65,24,25
35.73,23,28
35.89,22,25
35.97,24,27
36.05,24,32
36.13,23,28
36.21,24,28
36.29,23,28
36.37,24,31
36.45,25,36
36.61,26,34
36.69,26,30
36.77,26,29
36.85,26,30
36.93,23,28
37.01,26,29
37.09,25,30
37.17,25,29
37.25,25,31
37.33,24,32
37.41,23,32
37.49,25,36
37.57,26,29
37.65,26,32
37.74,27,33
37.81,26,33
37.90,26,29
37.98,35,36
38.06,24,32
38.14,27,29
38.22,27,29
38.30,28,29
38.38,30,30
38.46,29,28
38.54,27,30
38.62,24,29
