47.41,679,285
47.45,667,260
47.48,656,240
47.52,644,221
47.56,633,199
47.60,622,180
47.64,609,165
47.67,595,149
47.71,586,133
47.75,573,118
47.79,562,105
47.83,550,93
47.86,539,83
47.90,526,72
47.94,515,64
47.98,503,56
48.01,490,53
48.05,476,44
48.09,466,41
48.13,455,38
48.16,443,35
48.20,431,35
48.24,422,36
48.28,411,37
48.32,398,40
48.36,386,43
48.39,373,49
48.43,362,54
48.47,349,63
48.51,336,72
48.55,324,80
48.58,312,91
48.62,299,104
48.66,286,117
48.70,276,133
48.73,263,149
48.77,249,166
48.81,237,184
48.85,224,204
48.89,212,224
48.92,199,246
48.96,186,270
49.00,173,294
49.11,134,383
49.15,122,413
